word	pronunciation
-ա	ɑ
ա	ɑ
-ա-	ɑ
ԱԱ	ɑ ˈ ɑ
ԱԱԱԿ	ɑ ɑ ˈ ɑ k
ԱԱԲ	ɑ ɑ ˈ b ə
ԱԱԳ	ɑ ɑ ˈ ɡ ə
ԱԱԳԽ	ɑ ɑ ɡ ə ˈ χ ə
ԱԱԻ	ɑ ɑ ˈ i
ԱԱԽ	ɑ ɑ ˈ χ ə
ԱԱԾ	ɑ ɑ ˈ t ͡ s ə
ԱԱԿ	ɑ ɑ ˈ k ə
ԱԱՀ	ɑ ɑ ˈ h ə
ԱԱՀՀԻ	ɑ ɑ h ə h ə ˈ i
ԱԱՆ	ɑ ɑ ˈ n ə
ԱԱՊ	ɑ ɑ ˈ p ə
ԱԱՊԲ	ɑ ɑ p ə ˈ b ə
ԱԱՊՎ	ɑ ɑ p ə ˈ v ə
ԱԱՌ	ɑ ɑ ˈ r ə
Աարե	ɑ ɑ ˈ ɾ e
աբա	ɑ ˈ b ɑ
Աբադան	ɑ b ɑ ˈ d ɑ n
աբալովկա	ɑ b ɑ l o f ˈ k ɑ
Աբական	ɑ b ɑ ˈ k ɑ n
Աբայ	ɑ ˈ b ɑ j
աբանոս	ɑ b ɑ ˈ n o s
Աբաջյան	ɑ b ɑ ˈ d ͡ ʒ j ɑ n
Աբաս	ɑ ˈ b ɑ s
աբասանոց	ɑ b ɑ s ɑ ˈ n o t ͡ s ʰ
Աբասթուման	ɑ b ɑ s t ʰ u ˈ m ɑ n
աբասի	ɑ b ɑ ˈ s i
-աբար	ɑ ˈ b ɑ ɾ
Աբարան	ɑ b ɑ ˈ ɾ ɑ n
աբարանցի	ɑ b ɑ ɾ ɑ n ˈ t ͡ s ʰ i
աբբա	ɑ b ˈ b ɑ
աբբահայր	ɑ b b ɑ ˈ h ɑ j ɾ
աբբայական	ɑ b b ɑ j ɑ ˈ k ɑ n
աբբայարան	ɑ b b ɑ j ɑ ˈ ɾ ɑ n
աբբայություն	ɑ b b ɑ j u ˈ t ʰ j u n
աբբայուհի	ɑ b b ɑ j u ˈ h i
Աբգար	ɑ b ˈ ɡ ɑ ɾ
Աբգարյան	ɑ b ɡ ɑ ˈ ɾ j ɑ n
աբեթ	ɑ ˈ b e t ʰ
աբեթասունկ	ɑ b e t ʰ ɑ ˈ s u n k
աբեթենի	ɑ b e t ʰ e ˈ n i
Աբել	ɑ ˈ b e l
աբեղա	ɑ b e ˈ ʁ ɑ
աբեղաթող	ɑ b e ʁ ɑ ˈ t ʰ o ʁ
աբեղախոտ	ɑ b e ʁ ɑ ˈ χ o t
աբեղաձագ	ɑ b e ʁ ɑ ˈ d ͡ z ɑ k ʰ
աբեղայական	ɑ b e ʁ ɑ j ɑ ˈ k ɑ n
աբեղայակերպ	ɑ b e ʁ ɑ j ɑ ˈ k e ɾ p
աբեղայություն	ɑ b e ʁ ɑ j u ˈ t ʰ j u n
աբեղացու	ɑ b e ʁ ɑ ˈ t ͡ s ʰ u
Աբեղյան	ɑ b e ˈ ʁ j ɑ n
աբեղուկ	ɑ b e ˈ ʁ u k
Աբերդին	ɑ b e ɾ ˈ d i n
Աբիջան	ɑ b i ˈ d ͡ ʒ ɑ n
Աբիսողոմ	ɑ b i s o ˈ ʁ o m
աբխազ	ɑ p ʰ ˈ χ ɑ z
